date,title,youtube_id,alt,tag
6/16/2025,Why I Made the TABA Hat — Take America Back Again,MtJJ2dxvlKE,Why I Made the TABA Hat — Take America Back Again,TABA-Ep01
6/23/2025,TABA Episode 2 What Divides Us,rl7scsQcKN4,TABA Episode 2 What Divides Us,TABA-Ep02
6/30/2025,Bought by AIPAC: How U.S. Politicians Are Funding Gaza's Starvation,i3YwFAxL4jk,Bought by AIPAC: How U.S. Politicians Are Funding Gaza's Starvation,TABA-Ep03
7/7/2025,AIPAC's Power Players: Who's Hiding Gaza's Starvation,QA9lUxu1G0A,AIPAC's Power Players: Who's Hiding Gaza's Starvation,TABA-Ep04
7/14/2025,The Billionaire Who Bankrolled Disinformation | Rebekah Mercer,hufbZS5hgVM,The Billionaire Who Bankrolled Disinformation | Rebekah Mercer,TABA-Ep05
7/21/2025,Charles Koch: The Billionaire Who Bought His Way Into Power,YRe3p6_nMEY,Charles Koch: The Billionaire Who Bought His Way Into Power,TABA-Ep06
7/28/2025,Miriam Adelson: From Healer to a Billionaire who starves children!,a23RbAEBCd4,Miriam Adelson: From Healer to a Billionaire who starves children!,TABA-Ep07
8/4/2025,Elon Musk: From Tech Savior to Tyrant | A Bad Billionaires Warning,c9yMC7RO_vQ,Elon Musk: From Tech Savior to Tyrant | A Bad Billionaires Warning,TABA-Ep08
8/11/2025,Rupert Murdoch: The Billionaire Who Poisoned America's Media,9y1YeM7u9aE,Rupert Murdoch: The Billionaire Who Poisoned America's Media,TABA-Ep09
8/18/2025,MAGA Mind - America's New Addiction! Revised and Updated!,hX-AFGD-Z-I,MAGA Mind - America's New Addiction! Revised and Updated!,TABA-Ep10
8/25/2025,What is MagaMind? The Shocking Reality Behind the Red Hat,9gVZt4EnHbE,What is MagaMind? The Shocking Reality Behind the Red Hat,TABA-Ep11
9/1/2025,Trump Inc: A Billionaire-Run Shadow Government,DbGhiHl2QGU,Trump Inc: A Billionaire-Run Shadow Government,TABA-Ep12
9/8/2025,Dictator Donald: How Donald Trump is Paving the Road to Dictatorship,weYGScIfRVU,Dictator Donald: How Donald Trump is Paving the Road to Dictatorship,TABA-Ep13
9/15/2025,Charlie Kirk's Murder: How Trump Turned Tragedy into Political Ammunition,9NDGeVHseW4,Charlie Kirk's Murder: How Trump Turned Tragedy into Political Ammunition,TABA-Ep14
9/22/2025,MAGA Bots Exposed: The Fake Army Flooding Your Social Media,VH7l-Py9GkY,MAGA Bots Exposed: The Fake Army Flooding Your Social Media,TABA-Ep15
9/29/2025,Social Media Massacre: How the Right is Dominating the Digital War,hzTlbo3hVg8,Social Media Massacre: How the Right is Dominating the Digital War,TABA-Ep16