id,date,claim,context,category,source_url,verdict,notes
T0005,10/19/2025,"President Gustavo Petro, of Colombia, is an illegal drug leader strongly encouraging the massive production of drugs, in big and small fields, all over Colombia.",Comment on Truth Social,Drugs,https://truthsocial.com/@realDonaldTrump/posts/115401182824973489,,
T0002,10/18/2025,"At least 25,000 Americans would die if I allowed this submarine to come ashore.",Comment on Truth Social,Drugs,https://truthsocial.com/@realDonaldTrump/posts/115396632441470075,,
T0003,10/16/2025,The United States Air Force Academy Cadet Chapel has been a CONSTRUCTION DISASTER from the time it was built in 1962.,Comment on Truth Social,Governance,https://truthsocial.com/@realDonaldTrump/posts/115386862652518090,,
T0004,10/15/2025,President Trump ended 8 wars in 8 months,Comment on Truth Social,Politics,https://truthsocial.com/@realDonaldTrump/115375783207486555,,
T0006,10/14/2025,"Don’t forget to get a copy of my son Eric’s book, “UNDER SIEGE,” which is breaking records everywhere.",Comment on Truth Social,Trump Family,https://truthsocial.com/@realDonaldTrump/posts/115373650611754631,,
T0007,10/6/2025,"EARLY PRICES ARE DOWN, WHILE TARIFFS ARE MAKING OUR COUNTRY AN ECONOMIC POWER AGAIN. Also, virtually NO INFLATION,",Comment on Truth Social,Economy,https://truthsocial.com/@realDonaldTrump/115327091437197645,,
T0008,10/5/2025,"...the many reasons that the Federal Communications Commission should look into the license of NBC, which shows almost exclusively positive Democrat content. Likewise, ABC Fake News — About the same thing, 97% negative to Republicans!",Comment on Truth Social,Media,https://truthsocial.com/@realDonaldTrump/115324116995053528,,
T0009,10/5/2025,Corrupt Letitia James is costing New York State Hundreds of Billions of Dollars in lost business.,Comment on Truth Social,Governance,https://truthsocial.com/@realDonaldTrump/115317676598981431,,
T0010,10/4/2025,"As per my August 25, 2025 Executive Order, please be advised that, from this point forward, anybody burning the American Flag will be subject to one year in prison.",Comment on Truth Social,Law,https://truthsocial.com/@realDonaldTrump/115312821068691123,,
T0011,10/4/2025,I am pleased to advise that I reversed the cuts made to Homeland Security and Counterterrorism for New York City and State. It was my Honor to do so. Thank you for your attention to this matter! President DJT,Comment on Truth Social,Governance,https://truthsocial.com/@realDonaldTrump/115311232842528048,,
T0012,10/2/2025,The Democratic Party is dead... their only message for America is to hate Trump,Comment on Truth Social,Politics,https://truthsocial.com/@realDonaldTrump/115307908213210605,,
T0013,10/2/2025,Democrats ... demand we fund healthcare for immigrants,Comment on Truth Social,Immigration,https://truthsocial.com/@realDonaldTrump/115307904883946259,,
T0014,10/2/2025,THE DEMOCRATS WANT TO GIVE YOUR HEALTHCARE MONEY TO ILLEGAL ALIENS AND OPEN OUR BORDERS TO THE CRIMINALS OF THE WORLD,Comment on Truth Social,Immigration,https://truthsocial.com/@realDonaldTrump/115304401783234720,,
T0015,10/1/2025,"The Governor of Oregon must be living in a “Dream World.” Portland is a NEVER-ENDING DISASTER. Many people have been badly hurt, and even killed.",Comment on Truth Social,Politics,https://truthsocial.com/@realDonaldTrump/115300121637799728,,
T0016,10/1/2025,"ANTIFA and the Radical Left Anarchists have been viciously attacking our Federal Law Enforcement Officers, men and women who are simply doing their job",Comment on Truth Social,Politics,https://truthsocial.com/@realDonaldTrump/115300118756896774,,
T0017,10/1/2025,Trade deficit plummets in second quarter under Trump's reciprocal tariffs,Comment on Truth Social,Economy,https://truthsocial.com/@realDonaldTrump/115299127361117840,,
T0018,9/27/2025,"FBI had secretly placed, against all Rules, Regulations, Protocols, and Standards, 274 FBI Agents into the Crowd just prior to, and during, the January 6th Hoax.",Comment on Truth Social,Politics,https://truthsocial.com/@realDonaldTrump/115277207989888806,,
T0019,,,,,,,